sensor_id;sensor_type;location;lat;lon;timestamp;P1;P2;P0
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:42:17;4;4;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:45:12;8;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:45:23;8;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:48:19;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:48:29;5;5;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:51:25;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:51:35;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:54:31;6;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:54:40;6;2;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:57:37;6;5;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T07:57:46;6;5;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:00:43;9;7;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:00:52;9;7;3
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:03:49;7;6;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:03:58;7;6;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:06:55;14;6;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:07:06;3;3;2
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:10:02;8;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:10:12;8;8;6
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:13:08;8;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:13:18;8;6;4
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:16:14;7;7;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:16:23;7;7;5
76534;PMS7003;65380;51.22370000;16.16050000;2023-12-24T08:19:20;7;6;3
